title,description,category,department,priority
WiFi password request - North Campus,I need the current campus WiFi access procedure and password guidance. Location: North Campus. The issue has happened repeatedly and needs attention. This is a general request and there is no immediate deadline.,IT,IT Support,Low
WiFi password request - Student Center,I need the current campus WiFi access procedure and password guidance. Location: Student Center. Please assign the relevant team and provide an update. This is a general request and there is no immediate deadline.,IT,IT Support,Low
Software installation query - Main Campus,Please confirm how students can request approved software installation. Location: Main Campus. Please guide me about this issue. This is a general request and there is no immediate deadline.,IT,IT Support,Low
Software installation query - Block A,"Please confirm how students can request approved software installation. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. This is a general request and there is no immediate deadline.",IT,IT Support,Low
Software installation query - Library Wing,Please confirm how students can request approved software installation. Location: Library Wing. This problem is affecting my university work. This is a general request and there is no immediate deadline.,IT,IT Support,Low
Software installation query - North Campus,Please confirm how students can request approved software installation. Location: North Campus. The issue has happened repeatedly and needs attention. This is a general request and there is no immediate deadline.,IT,IT Support,Low
Software installation query - Student Center,Please confirm how students can request approved software installation. Location: Student Center. Please assign the relevant team and provide an update. This is a general request and there is no immediate deadline.,IT,IT Support,Low
University email setup - Main Campus,I need instructions for setting up my university email account on a new device. Location: Main Campus. Please guide me about this issue. This is a general request and there is no immediate deadline.,IT,IT Support,Low
University email setup - Block A,"I need instructions for setting up my university email account on a new device. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. This is a general request and there is no immediate deadline.",IT,IT Support,Low
University email setup - Library Wing,I need instructions for setting up my university email account on a new device. Location: Library Wing. This problem is affecting my university work. This is a general request and there is no immediate deadline.,IT,IT Support,Low
University email setup - North Campus,I need instructions for setting up my university email account on a new device. Location: North Campus. The issue has happened repeatedly and needs attention. This is a general request and there is no immediate deadline.,IT,IT Support,Low
University email setup - Student Center,I need instructions for setting up my university email account on a new device. Location: Student Center. Please assign the relevant team and provide an update. This is a general request and there is no immediate deadline.,IT,IT Support,Low
Student portal running slowly - Main Campus,The student portal loads very slowly and delays my regular work. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,IT,IT Support,Medium
Student portal running slowly - Block A,"The student portal loads very slowly and delays my regular work. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",IT,IT Support,Medium
Student portal running slowly - Library Wing,The student portal loads very slowly and delays my regular work. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,IT,IT Support,Medium
Student portal running slowly - North Campus,The student portal loads very slowly and delays my regular work. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,IT,IT Support,Medium
Student portal running slowly - Student Center,The student portal loads very slowly and delays my regular work. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,IT,IT Support,Medium
Projector connection issue - Main Campus,The classroom computer cannot connect to the projector for a lecture. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,IT,IT Support,Medium
Projector connection issue - Block A,"The classroom computer cannot connect to the projector for a lecture. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",IT,IT Support,Medium
Projector connection issue - Library Wing,The classroom computer cannot connect to the projector for a lecture. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,IT,IT Support,Medium
Projector connection issue - North Campus,The classroom computer cannot connect to the projector for a lecture. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,IT,IT Support,Medium
Projector connection issue - Student Center,The classroom computer cannot connect to the projector for a lecture. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,IT,IT Support,Medium
Password reset not working - Main Campus,The password reset link is not allowing me to create a new password. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,IT,IT Support,Medium
Password reset not working - Block A,"The password reset link is not allowing me to create a new password. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",IT,IT Support,Medium
Password reset not working - Library Wing,The password reset link is not allowing me to create a new password. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,IT,IT Support,Medium
Password reset not working - North Campus,The password reset link is not allowing me to create a new password. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,IT,IT Support,Medium
Password reset not working - Student Center,The password reset link is not allowing me to create a new password. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,IT,IT Support,Medium
Internet disconnecting repeatedly - Main Campus,Campus internet disconnect ho raha hai aur online class affect ho rahi hai. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,IT,IT Support,Medium
Internet disconnecting repeatedly - Block A,"Campus internet disconnect ho raha hai aur online class affect ho rahi hai. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",IT,IT Support,Medium
Internet disconnecting repeatedly - Library Wing,Campus internet disconnect ho raha hai aur online class affect ho rahi hai. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,IT,IT Support,Medium
Internet disconnecting repeatedly - North Campus,Campus internet disconnect ho raha hai aur online class affect ho rahi hai. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,IT,IT Support,Medium
Internet disconnecting repeatedly - Student Center,Campus internet disconnect ho raha hai aur online class affect ho rahi hai. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,IT,IT Support,Medium
Student portal unavailable - Main Campus,The student portal is completely down before today's submission deadline. Location: Main Campus. Please guide me about this issue. Urgent: the service is blocked or a safety/deadline risk is involved.,IT,IT Support,High
Student portal unavailable - Block A,"The student portal is completely down before today's submission deadline. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. Urgent: the service is blocked or a safety/deadline risk is involved.",IT,IT Support,High
Student portal unavailable - Library Wing,The student portal is completely down before today's submission deadline. Location: Library Wing. This problem is affecting my university work. Urgent: the service is blocked or a safety/deadline risk is involved.,IT,IT Support,High
Student portal unavailable - North Campus,The student portal is completely down before today's submission deadline. Location: North Campus. The issue has happened repeatedly and needs attention. Urgent: the service is blocked or a safety/deadline risk is involved.,IT,IT Support,High
Student portal unavailable - Student Center,The student portal is completely down before today's submission deadline. Location: Student Center. Please assign the relevant team and provide an update. Urgent: the service is blocked or a safety/deadline risk is involved.,IT,IT Support,High
Computer lab systems down - Main Campus,All computers in the lab are unavailable during a scheduled examination. Location: Main Campus. Please guide me about this issue. Urgent: the service is blocked or a safety/deadline risk is involved.,IT,IT Support,High
Computer lab systems down - Block A,"All computers in the lab are unavailable during a scheduled examination. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. Urgent: the service is blocked or a safety/deadline risk is involved.",IT,IT Support,High
Computer lab systems down - Library Wing,All computers in the lab are unavailable during a scheduled examination. Location: Library Wing. This problem is affecting my university work. Urgent: the service is blocked or a safety/deadline risk is involved.,IT,IT Support,High
Computer lab systems down - North Campus,All computers in the lab are unavailable during a scheduled examination. Location: North Campus. The issue has happened repeatedly and needs attention. Urgent: the service is blocked or a safety/deadline risk is involved.,IT,IT Support,High
Computer lab systems down - Student Center,All computers in the lab are unavailable during a scheduled examination. Location: Student Center. Please assign the relevant team and provide an update. Urgent: the service is blocked or a safety/deadline risk is involved.,IT,IT Support,High
Account locked before deadline - Main Campus,My university account is locked and an important assignment is due today. Location: Main Campus. Please guide me about this issue. Urgent: the service is blocked or a safety/deadline risk is involved.,IT,IT Support,High
Account locked before deadline - Block A,"My university account is locked and an important assignment is due today. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. Urgent: the service is blocked or a safety/deadline risk is involved.",IT,IT Support,High
Account locked before deadline - Library Wing,My university account is locked and an important assignment is due today. Location: Library Wing. This problem is affecting my university work. Urgent: the service is blocked or a safety/deadline risk is involved.,IT,IT Support,High
Account locked before deadline - North Campus,My university account is locked and an important assignment is due today. Location: North Campus. The issue has happened repeatedly and needs attention. Urgent: the service is blocked or a safety/deadline risk is involved.,IT,IT Support,High
Account locked before deadline - Student Center,My university account is locked and an important assignment is due today. Location: Student Center. Please assign the relevant team and provide an update. Urgent: the service is blocked or a safety/deadline risk is involved.,IT,IT Support,High
Fee structure query - Main Campus,Please provide the current semester fee structure and due dates. Location: Main Campus. Please guide me about this issue. This is a general request and there is no immediate deadline.,Finance,Student Finance,Low
Fee structure query - Block A,"Please provide the current semester fee structure and due dates. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. This is a general request and there is no immediate deadline.",Finance,Student Finance,Low
Fee structure query - Library Wing,Please provide the current semester fee structure and due dates. Location: Library Wing. This problem is affecting my university work. This is a general request and there is no immediate deadline.,Finance,Student Finance,Low
Fee structure query - North Campus,Please provide the current semester fee structure and due dates. Location: North Campus. The issue has happened repeatedly and needs attention. This is a general request and there is no immediate deadline.,Finance,Student Finance,Low
Fee structure query - Student Center,Please provide the current semester fee structure and due dates. Location: Student Center. Please assign the relevant team and provide an update. This is a general request and there is no immediate deadline.,Finance,Student Finance,Low
Scholarship information - Main Campus,I want information about available scholarships and eligibility requirements. Location: Main Campus. Please guide me about this issue. This is a general request and there is no immediate deadline.,Finance,Student Finance,Low
Scholarship information - Block A,"I want information about available scholarships and eligibility requirements. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. This is a general request and there is no immediate deadline.",Finance,Student Finance,Low
Scholarship information - Library Wing,I want information about available scholarships and eligibility requirements. Location: Library Wing. This problem is affecting my university work. This is a general request and there is no immediate deadline.,Finance,Student Finance,Low
Scholarship information - North Campus,I want information about available scholarships and eligibility requirements. Location: North Campus. The issue has happened repeatedly and needs attention. This is a general request and there is no immediate deadline.,Finance,Student Finance,Low
Scholarship information - Student Center,I want information about available scholarships and eligibility requirements. Location: Student Center. Please assign the relevant team and provide an update. This is a general request and there is no immediate deadline.,Finance,Student Finance,Low
Payment deadline confirmation - Main Campus,Please confirm the last date for semester fee payment. Location: Main Campus. Please guide me about this issue. This is a general request and there is no immediate deadline.,Finance,Student Finance,Low
Payment deadline confirmation - Block A,"Please confirm the last date for semester fee payment. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. This is a general request and there is no immediate deadline.",Finance,Student Finance,Low
Payment deadline confirmation - Library Wing,Please confirm the last date for semester fee payment. Location: Library Wing. This problem is affecting my university work. This is a general request and there is no immediate deadline.,Finance,Student Finance,Low
Payment deadline confirmation - North Campus,Please confirm the last date for semester fee payment. Location: North Campus. The issue has happened repeatedly and needs attention. This is a general request and there is no immediate deadline.,Finance,Student Finance,Low
Payment deadline confirmation - Student Center,Please confirm the last date for semester fee payment. Location: Student Center. Please assign the relevant team and provide an update. This is a general request and there is no immediate deadline.,Finance,Student Finance,Low
Fee voucher not generated - Main Campus,My semester fee voucher is not being generated on the portal. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,Finance,Student Finance,Medium
Fee voucher not generated - Block A,"My semester fee voucher is not being generated on the portal. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",Finance,Student Finance,Medium
Fee voucher not generated - Library Wing,My semester fee voucher is not being generated on the portal. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,Finance,Student Finance,Medium
Fee voucher not generated - North Campus,My semester fee voucher is not being generated on the portal. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,Finance,Student Finance,Medium
Fee voucher not generated - Student Center,My semester fee voucher is not being generated on the portal. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,Finance,Student Finance,Medium
Installment request pending - Main Campus,My fee installment request has not received a response. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,Finance,Student Finance,Medium
Installment request pending - Block A,"My fee installment request has not received a response. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",Finance,Student Finance,Medium
Installment request pending - Library Wing,My fee installment request has not received a response. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,Finance,Student Finance,Medium
Installment request pending - North Campus,My fee installment request has not received a response. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,Finance,Student Finance,Medium
Installment request pending - Student Center,My fee installment request has not received a response. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,Finance,Student Finance,Medium
Refund still pending - Main Campus,The approved fee refund has not been received in my account. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,Finance,Student Finance,Medium
Refund still pending - Block A,"The approved fee refund has not been received in my account. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",Finance,Student Finance,Medium
Refund still pending - Library Wing,The approved fee refund has not been received in my account. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,Finance,Student Finance,Medium
Refund still pending - North Campus,The approved fee refund has not been received in my account. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,Finance,Student Finance,Medium
Refund still pending - Student Center,The approved fee refund has not been received in my account. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,Finance,Student Finance,Medium
Duplicate payment charge - Main Campus,The same university fee was charged twice to my account. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,Finance,Student Finance,Medium
Duplicate payment charge - Block A,"The same university fee was charged twice to my account. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",Finance,Student Finance,Medium
Duplicate payment charge - Library Wing,The same university fee was charged twice to my account. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,Finance,Student Finance,Medium
Duplicate payment charge - North Campus,The same university fee was charged twice to my account. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,Finance,Student Finance,Medium
Duplicate payment charge - Student Center,The same university fee was charged twice to my account. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,Finance,Student Finance,Medium
Paid fee not updated - Main Campus,I paid the fee but the portal shows unpaid and registration closes today. Location: Main Campus. Please guide me about this issue. Urgent: the service is blocked or a safety/deadline risk is involved.,Finance,Student Finance,High
Paid fee not updated - Block A,"I paid the fee but the portal shows unpaid and registration closes today. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. Urgent: the service is blocked or a safety/deadline risk is involved.",Finance,Student Finance,High
Paid fee not updated - Library Wing,I paid the fee but the portal shows unpaid and registration closes today. Location: Library Wing. This problem is affecting my university work. Urgent: the service is blocked or a safety/deadline risk is involved.,Finance,Student Finance,High
Paid fee not updated - North Campus,I paid the fee but the portal shows unpaid and registration closes today. Location: North Campus. The issue has happened repeatedly and needs attention. Urgent: the service is blocked or a safety/deadline risk is involved.,Finance,Student Finance,High
Paid fee not updated - Student Center,I paid the fee but the portal shows unpaid and registration closes today. Location: Student Center. Please assign the relevant team and provide an update. Urgent: the service is blocked or a safety/deadline risk is involved.,Finance,Student Finance,High
Incorrect late payment fine - Main Campus,A large late fine was added incorrectly and today's deadline will block my enrollment. Location: Main Campus. Please guide me about this issue. Urgent: the service is blocked or a safety/deadline risk is involved.,Finance,Student Finance,High
Incorrect late payment fine - Block A,"A large late fine was added incorrectly and today's deadline will block my enrollment. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. Urgent: the service is blocked or a safety/deadline risk is involved.",Finance,Student Finance,High
Incorrect late payment fine - Library Wing,A large late fine was added incorrectly and today's deadline will block my enrollment. Location: Library Wing. This problem is affecting my university work. Urgent: the service is blocked or a safety/deadline risk is involved.,Finance,Student Finance,High
Incorrect late payment fine - North Campus,A large late fine was added incorrectly and today's deadline will block my enrollment. Location: North Campus. The issue has happened repeatedly and needs attention. Urgent: the service is blocked or a safety/deadline risk is involved.,Finance,Student Finance,High
Incorrect late payment fine - Student Center,A large late fine was added incorrectly and today's deadline will block my enrollment. Location: Student Center. Please assign the relevant team and provide an update. Urgent: the service is blocked or a safety/deadline risk is involved.,Finance,Student Finance,High
Registration blocked after payment - Main Campus,My confirmed payment is not recognized and course registration is completely blocked. Location: Main Campus. Please guide me about this issue. Urgent: the service is blocked or a safety/deadline risk is involved.,Finance,Student Finance,High
Registration blocked after payment - Block A,"My confirmed payment is not recognized and course registration is completely blocked. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. Urgent: the service is blocked or a safety/deadline risk is involved.",Finance,Student Finance,High
Registration blocked after payment - Library Wing,My confirmed payment is not recognized and course registration is completely blocked. Location: Library Wing. This problem is affecting my university work. Urgent: the service is blocked or a safety/deadline risk is involved.,Finance,Student Finance,High
Registration blocked after payment - North Campus,My confirmed payment is not recognized and course registration is completely blocked. Location: North Campus. The issue has happened repeatedly and needs attention. Urgent: the service is blocked or a safety/deadline risk is involved.,Finance,Student Finance,High
Registration blocked after payment - Student Center,My confirmed payment is not recognized and course registration is completely blocked. Location: Student Center. Please assign the relevant team and provide an update. Urgent: the service is blocked or a safety/deadline risk is involved.,Finance,Student Finance,High
Student card collection query - Main Campus,Please confirm when and where I can collect my student card. Location: Main Campus. Please guide me about this issue. This is a general request and there is no immediate deadline.,Student Services,Student Services,Low
Student card collection query - Block A,"Please confirm when and where I can collect my student card. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. This is a general request and there is no immediate deadline.",Student Services,Student Services,Low
Student card collection query - Library Wing,Please confirm when and where I can collect my student card. Location: Library Wing. This problem is affecting my university work. This is a general request and there is no immediate deadline.,Student Services,Student Services,Low
Student card collection query - North Campus,Please confirm when and where I can collect my student card. Location: North Campus. The issue has happened repeatedly and needs attention. This is a general request and there is no immediate deadline.,Student Services,Student Services,Low
Student card collection query - Student Center,Please confirm when and where I can collect my student card. Location: Student Center. Please assign the relevant team and provide an update. This is a general request and there is no immediate deadline.,Student Services,Student Services,Low
Transport route information - Main Campus,I need information about university bus routes and timings. Location: Main Campus. Please guide me about this issue. This is a general request and there is no immediate deadline.,Student Services,Student Services,Low
Transport route information - Block A,"I need information about university bus routes and timings. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. This is a general request and there is no immediate deadline.",Student Services,Student Services,Low
Transport route information - Library Wing,I need information about university bus routes and timings. Location: Library Wing. This problem is affecting my university work. This is a general request and there is no immediate deadline.,Student Services,Student Services,Low
Transport route information - North Campus,I need information about university bus routes and timings. Location: North Campus. The issue has happened repeatedly and needs attention. This is a general request and there is no immediate deadline.,Student Services,Student Services,Low
Transport route information - Student Center,I need information about university bus routes and timings. Location: Student Center. Please assign the relevant team and provide an update. This is a general request and there is no immediate deadline.,Student Services,Student Services,Low
Certificate procedure - Main Campus,Please explain the procedure for requesting a bonafide student certificate. Location: Main Campus. Please guide me about this issue. This is a general request and there is no immediate deadline.,Student Services,Student Services,Low
Certificate procedure - Block A,"Please explain the procedure for requesting a bonafide student certificate. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. This is a general request and there is no immediate deadline.",Student Services,Student Services,Low
Certificate procedure - Library Wing,Please explain the procedure for requesting a bonafide student certificate. Location: Library Wing. This problem is affecting my university work. This is a general request and there is no immediate deadline.,Student Services,Student Services,Low
Certificate procedure - North Campus,Please explain the procedure for requesting a bonafide student certificate. Location: North Campus. The issue has happened repeatedly and needs attention. This is a general request and there is no immediate deadline.,Student Services,Student Services,Low
Certificate procedure - Student Center,Please explain the procedure for requesting a bonafide student certificate. Location: Student Center. Please assign the relevant team and provide an update. This is a general request and there is no immediate deadline.,Student Services,Student Services,Low
Admission document upload issue - Main Campus,The admission portal is not accepting one of my required documents. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,Student Services,Student Services,Medium
Admission document upload issue - Block A,"The admission portal is not accepting one of my required documents. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",Student Services,Student Services,Medium
Admission document upload issue - Library Wing,The admission portal is not accepting one of my required documents. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,Student Services,Student Services,Medium
Admission document upload issue - North Campus,The admission portal is not accepting one of my required documents. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,Student Services,Student Services,Medium
Admission document upload issue - Student Center,The admission portal is not accepting one of my required documents. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,Student Services,Student Services,Medium
Student card replacement - Main Campus,My damaged student card needs to be replaced. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,Student Services,Student Services,Medium
Student card replacement - Block A,"My damaged student card needs to be replaced. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",Student Services,Student Services,Medium
Student card replacement - Library Wing,My damaged student card needs to be replaced. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,Student Services,Student Services,Medium
Student card replacement - North Campus,My damaged student card needs to be replaced. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,Student Services,Student Services,Medium
Student card replacement - Student Center,My damaged student card needs to be replaced. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,Student Services,Student Services,Medium
Transport pass problem - Main Campus,My approved transport pass is not appearing in the student portal. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,Student Services,Student Services,Medium
Transport pass problem - Block A,"My approved transport pass is not appearing in the student portal. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",Student Services,Student Services,Medium
Transport pass problem - Library Wing,My approved transport pass is not appearing in the student portal. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,Student Services,Student Services,Medium
Transport pass problem - North Campus,My approved transport pass is not appearing in the student portal. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,Student Services,Student Services,Medium
Transport pass problem - Student Center,My approved transport pass is not appearing in the student portal. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,Student Services,Student Services,Medium
Degree verification request - Main Campus,My submitted degree verification request has not been processed. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,Student Services,Student Services,Medium
Degree verification request - Block A,"My submitted degree verification request has not been processed. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",Student Services,Student Services,Medium
Degree verification request - Library Wing,My submitted degree verification request has not been processed. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,Student Services,Student Services,Medium
Degree verification request - North Campus,My submitted degree verification request has not been processed. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,Student Services,Student Services,Medium
Degree verification request - Student Center,My submitted degree verification request has not been processed. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,Student Services,Student Services,Medium
Lost student card urgent - Main Campus,My student card was lost today and immediate blocking assistance is required. Location: Main Campus. Please guide me about this issue. Urgent: the service is blocked or a safety/deadline risk is involved.,Student Services,Student Services,High
Lost student card urgent - Block A,"My student card was lost today and immediate blocking assistance is required. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. Urgent: the service is blocked or a safety/deadline risk is involved.",Student Services,Student Services,High
Lost student card urgent - Library Wing,My student card was lost today and immediate blocking assistance is required. Location: Library Wing. This problem is affecting my university work. Urgent: the service is blocked or a safety/deadline risk is involved.,Student Services,Student Services,High
Lost student card urgent - North Campus,My student card was lost today and immediate blocking assistance is required. Location: North Campus. The issue has happened repeatedly and needs attention. Urgent: the service is blocked or a safety/deadline risk is involved.,Student Services,Student Services,High
Lost student card urgent - Student Center,My student card was lost today and immediate blocking assistance is required. Location: Student Center. Please assign the relevant team and provide an update. Urgent: the service is blocked or a safety/deadline risk is involved.,Student Services,Student Services,High
Admission deadline blocked - Main Campus,The admission system will not submit my completed application and the deadline is today. Location: Main Campus. Please guide me about this issue. Urgent: the service is blocked or a safety/deadline risk is involved.,Student Services,Student Services,High
Admission deadline blocked - Block A,"The admission system will not submit my completed application and the deadline is today. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. Urgent: the service is blocked or a safety/deadline risk is involved.",Student Services,Student Services,High
Admission deadline blocked - Library Wing,The admission system will not submit my completed application and the deadline is today. Location: Library Wing. This problem is affecting my university work. Urgent: the service is blocked or a safety/deadline risk is involved.,Student Services,Student Services,High
Admission deadline blocked - North Campus,The admission system will not submit my completed application and the deadline is today. Location: North Campus. The issue has happened repeatedly and needs attention. Urgent: the service is blocked or a safety/deadline risk is involved.,Student Services,Student Services,High
Admission deadline blocked - Student Center,The admission system will not submit my completed application and the deadline is today. Location: Student Center. Please assign the relevant team and provide an update. Urgent: the service is blocked or a safety/deadline risk is involved.,Student Services,Student Services,High
Urgent student welfare support - Main Campus,A student needs immediate welfare and counselling assistance on campus. Location: Main Campus. Please guide me about this issue. Urgent: the service is blocked or a safety/deadline risk is involved.,Student Services,Student Services,High
Urgent student welfare support - Block A,"A student needs immediate welfare and counselling assistance on campus. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. Urgent: the service is blocked or a safety/deadline risk is involved.",Student Services,Student Services,High
Urgent student welfare support - Library Wing,A student needs immediate welfare and counselling assistance on campus. Location: Library Wing. This problem is affecting my university work. Urgent: the service is blocked or a safety/deadline risk is involved.,Student Services,Student Services,High
Urgent student welfare support - North Campus,A student needs immediate welfare and counselling assistance on campus. Location: North Campus. The issue has happened repeatedly and needs attention. Urgent: the service is blocked or a safety/deadline risk is involved.,Student Services,Student Services,High
Urgent student welfare support - Student Center,A student needs immediate welfare and counselling assistance on campus. Location: Student Center. Please assign the relevant team and provide an update. Urgent: the service is blocked or a safety/deadline risk is involved.,Student Services,Student Services,High
